Job Sector,Job Openings
Information,2336
Management of Companies and Enterprises,2150
Retail Trade,1565
Other Services (excluding Public Administration),1410
Professional Scientific and Technical Services,1278
Health Care and Social Assistance,1046
fast food,982
Arts Entertainment and Recreation,936
Finance and Insurance,931
Public Administration,923
Construction,845
Educational Services,783
Wholesale Trade,626
Manufacturing,426
Utilities,353
Transportation and Warehousing,348
Administration & Support Waste Management and Remediation,278
Agriculture Forestry Fishing and Hunting,274
Mining Quarrying and Oil and Gas Extraction,256
Accommodation and Food Services,242
Real Estate and Rental and Leasing,181
