Neighborhood,Job Openings,Agriculture Forestry Fishing and Hunting jobs,Mining Quarrying and Oil and Gas Extraction jobs,Utilities jobs,Construction jobs,Manufacturing jobs,Wholesale Trade jobs,Retail Trade jobs,Transportation and Warehousing jobs,Information jobs,Finance and Insurance jobs,Real Estate and Rental and Leasing jobs,Professional Scientific and Technical Services jobs,Management of Companies and Enterprises jobs,Administration & Support Waste Management and Remediation jobs,Educational Services jobs,Health Care and Social Assistance jobs,Arts Entertainment and Recreation jobs,Accommodation and Food Services jobs,Public Administration jobs,Other Services (excluding Public Administration) jobs,fast food jobs,Median Salary,Location ZIP Code
"Allied Gardens, Del Cerro",52,0,0,1,1,1,4,6,2,0,3,1,6,4,1,2,9,0,0,3,0,0,37566.0,92120
Alpine,23,0,1,0,1,0,0,5,0,0,2,0,2,5,1,0,0,0,1,0,2,0,47394.0,91901
Bonita,12,0,0,0,0,0,1,2,0,1,0,0,0,1,0,2,2,0,0,0,0,0,36700.0,91902
Bonsall,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,31305.0,92003
Campo,6,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,35246.0,91906
Cardiff,9,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,33392.0,92007
Carlsbad,497,3,11,4,19,46,31,54,21,19,42,5,34,56,3,8,16,4,8,11,13,0,39916.4,92008
Carmel Valey,125,0,0,0,6,3,10,25,0,7,13,0,9,12,1,1,1,0,2,2,2,0,40500.0,92130
Chula Vista,351,4,1,3,12,8,32,64,7,12,18,2,17,23,4,6,53,1,1,7,15,0,46817.142857142855,91910
City Heights,45,0,1,0,3,0,2,3,1,0,1,0,4,8,0,2,8,0,0,2,1,0,41740.0,92105
Clairemont,48,0,2,0,3,1,4,9,4,0,3,2,0,4,0,0,1,1,2,1,1,0,35479.0,92117
College,84,0,1,1,1,1,0,8,4,0,5,1,5,2,1,7,8,0,2,11,1,0,37704.666666666664,92115
Coronado,115,1,1,0,4,3,3,12,2,1,7,0,9,13,0,1,5,1,7,3,2,0,47268.875,92118
Del Mar,40,0,0,0,1,0,1,1,2,2,2,1,1,5,0,6,2,1,1,2,1,0,43827.0,92014
Downtown,777,11,8,7,43,23,53,94,12,48,48,17,53,76,6,7,15,5,32,24,34,0,57920.0,92101
El Cajon,290,1,0,13,31,30,21,32,8,9,10,3,14,35,0,5,8,0,1,8,13,0,40874.625,92020
Encanto,24,0,0,0,7,1,0,0,0,1,2,0,4,2,0,0,0,0,0,1,1,0,33392.0,92114
Encinitas,115,3,1,2,7,0,7,30,2,1,2,0,8,16,1,4,6,0,2,1,10,0,35479.0,92024
Escondido,263,1,1,3,16,12,11,29,7,3,14,6,19,25,1,4,38,3,4,13,9,0,36741.7,92025
Fallbrook,33,1,0,1,2,2,0,8,3,0,2,0,1,2,0,2,1,0,1,0,2,0,37739.5,92028
Golden Hill,81,0,0,0,1,3,6,8,6,5,7,1,5,7,1,3,7,0,0,4,3,0,43827.0,92102
"Hillcrest, Mission Hills",152,0,1,2,4,0,1,20,3,7,13,0,6,15,2,11,16,1,1,3,4,0,37566.0,92103
Imperial Beach,15,0,0,1,0,0,0,2,1,3,1,0,1,0,2,0,0,0,0,0,0,0,37566.0,91932
Jamul,9,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31600.0,91935
Julian,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,19575.0,92036
"Kensington, Normal Heights",12,0,0,0,0,0,1,1,1,0,0,0,1,3,0,0,1,0,0,0,0,0,34435.5,92116
La Jolla,256,0,2,0,10,7,11,23,3,8,14,6,25,23,2,25,22,0,5,1,6,0,55519.5,92037
La Mesa,150,1,0,2,4,5,12,18,1,2,5,0,8,19,0,11,29,0,4,5,4,0,35386.0,91942
Lakeside,31,0,0,1,2,3,3,1,0,1,0,0,5,3,0,4,0,0,1,0,1,0,39050.0,92040
Lemon Grove,20,0,0,1,1,1,1,3,0,1,0,0,2,0,0,1,2,0,0,0,0,0,33392.0,91945
Linda Vista,183,0,0,4,16,7,6,38,5,6,9,0,11,17,1,3,6,2,2,7,5,0,35200.0,92111
Logan Heights,85,0,1,0,6,0,4,15,4,6,4,1,3,10,5,0,1,0,0,2,3,0,48783.0,92113
Midway,11,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35479.0,92140
Mira Mesa,132,1,3,2,15,7,14,13,9,2,6,0,10,14,1,1,4,2,0,1,5,0,37566.0,92126
Miramar,15,0,1,1,2,0,3,2,0,0,0,0,1,2,0,0,0,0,0,0,1,0,35600.0,92145
Mission Valley,299,1,5,3,12,5,15,38,1,13,22,6,9,38,3,11,9,2,12,13,12,0,40150.0,92108
Morena,181,0,0,1,15,1,9,18,3,14,8,1,21,22,2,1,9,1,5,6,7,0,37566.0,92110
National City,192,1,4,4,6,5,10,31,6,0,8,0,9,15,1,1,20,1,2,7,5,0,33392.0,91950
North Park,52,0,0,0,2,0,1,11,2,0,4,0,0,2,3,0,7,0,1,1,0,0,37566.0,92104
Ocean Beach,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,2,0,35479.0,92107
Oceanside,300,5,1,7,13,13,18,41,10,4,22,3,17,32,4,9,19,1,4,4,10,0,38526.57142857143,92054
Otay Mesa,103,0,1,1,7,13,6,7,23,6,7,1,6,6,1,0,1,0,0,2,1,0,43827.0,92154
"Pacific Beach, Mission Beach",86,1,1,1,7,0,3,10,0,3,1,1,5,15,0,0,4,2,3,1,3,0,33392.0,92109
Pala,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26100.0,92059
Paradise Hills,12,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,2,0,33392.0,92139
Pauma Valley,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30800.0,92061
Penasquitos,37,0,0,0,2,3,3,5,0,3,2,0,5,3,1,4,1,0,0,0,2,0,37566.0,92129
Point Loma,86,0,0,4,2,0,3,12,0,11,8,1,4,8,0,5,1,2,1,0,2,0,42214.5,92106
Poway,162,0,0,2,9,5,11,27,10,3,10,4,12,24,2,3,11,1,1,1,5,0,44032.25,92064
Ramona,15,0,0,0,4,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,37566.0,92065
Rancho Bernardo,233,3,2,2,10,8,11,27,8,13,14,2,25,24,3,4,10,8,5,0,5,0,40170.0,92127
Rancho Santa Fe,23,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,2,0,3,0,1,0,34435.5,92067
San Carlos,9,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,1,2,0,0,0,0,32500.0,92119
San Marcos,198,2,0,7,13,5,13,40,18,7,5,2,12,21,1,4,9,2,1,5,4,0,36676.666666666664,92069
San Ysidro,49,2,2,0,2,0,6,12,0,0,1,0,0,8,0,0,3,0,0,1,2,0,31900.0,92173
Santee,58,0,0,1,3,4,7,9,1,3,4,0,1,4,1,1,1,0,3,3,3,0,35479.0,92071
Scripps Ranch,66,1,1,1,4,2,4,4,1,4,13,0,0,4,1,10,0,1,2,0,3,0,41740.0,92131
Serra Mesa,264,1,4,10,16,12,16,29,7,26,17,5,10,29,3,2,16,0,1,10,4,0,41740.0,92123
Solana Beach,29,0,0,1,1,0,2,2,0,6,1,0,0,7,0,1,1,1,1,0,2,0,33796.0,92075
Sorrento Valley,730,2,3,9,52,71,43,123,24,43,54,4,80,81,3,4,18,4,2,26,11,0,52175.0,92121
Spring Valley,48,0,0,1,7,1,2,7,1,0,3,1,1,4,0,0,5,0,0,1,4,0,37273.833333333336,91978
Tierrasanta,7,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,30450.0,92124
University City,128,0,0,0,7,2,12,13,2,9,17,0,8,11,0,14,3,0,5,0,3,0,37566.0,92122
Valley Center,33,0,0,0,0,1,0,0,2,0,2,0,3,1,3,0,1,1,9,1,2,0,33392.0,92082
Vista,190,2,3,13,8,18,14,26,8,7,6,0,7,28,2,2,6,0,1,7,4,0,38476.25,92083
