ZIP Code,Job Openings,Median Salary,Agriculture Forestry Fishing and Hunting jobs,Mining Quarrying and Oil and Gas Extraction jobs,Utilities jobs,Construction jobs,Manufacturing jobs,Wholesale Trade jobs,Retail Trade jobs,Transportation and Warehousing jobs,Information jobs,Finance and Insurance jobs,Real Estate and Rental and Leasing jobs,Professional Scientific and Technical Services jobs,Management of Companies and Enterprises jobs,Administration & Support Waste Management and Remediation jobs,Educational Services jobs,Health Care and Social Assistance jobs,Arts Entertainment and Recreation jobs,Accommodation and Food Services jobs,Public Administration jobs,Other Services (excluding Public Administration) jobs,fast food jobs,Neighborhood
91901,23,47394.0,0,1,0,1,0,0,5,0,0,2,0,2,5,1,0,0,0,1,0,2,0,Alpine
91902,9,36700.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,Bonita
91906,6,35246.0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Campo
91908,3,,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bonita
91909,5,41600.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,Chula Vista
91910,195,40000.0,1,0,2,11,7,14,31,3,5,14,0,10,6,1,6,38,0,0,1,8,0,Chula Vista
91911,94,33392.0,1,0,1,1,1,11,21,4,4,3,1,6,9,3,0,11,0,0,3,6,0,Chula Vista
91913,8,35479.0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,Chula Vista
91914,19,33246.0,2,1,0,0,0,3,3,0,1,1,0,0,5,0,0,1,1,0,0,1,0,Chula Vista
91915,29,31305.0,0,0,0,0,0,4,5,0,1,0,1,0,1,0,0,0,0,1,2,0,0,Chula Vista
91916,2,50870.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Descanso
91921,1,112698.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Chula Vista
91932,15,37566.0,0,0,1,0,0,0,2,1,3,1,0,1,0,2,0,0,0,0,0,0,0,Imperial Beach
91935,9,31600.0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Jamul
91941,23,35200.0,0,0,0,0,0,3,3,0,0,1,0,1,2,0,5,5,0,1,0,1,0,La Mesa
91942,119,37566.0,1,0,2,4,5,9,15,0,2,4,0,3,17,0,4,23,0,3,5,3,0,La Mesa
91944,8,33392.0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,1,0,0,0,0,0,La Mesa
